title,date,url,source,section,scrape_time,news_content
孫玉菡指輸入外勞檢討有結果前繼續接受申請,2025-08-26 11:50,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826115058&page=0,metro,,2025-08-26 12:15,"勞工及福利局局長孫玉菡表示，截至今年7月，補充勞工優化計劃共接獲370宗投訴，11宗查明屬實，僱主已經被行政制裁。 他又透露，正處理一宗餐飲業僱主懷疑聘用外勞後解僱本地工人的投訴，由於情節嚴重，如果確認屬實，可能禁止有關僱主申請輸入外勞兩年。

孫玉菡接受《明報》專訪時指，輸入外勞機制不容忍任何濫用，如果發現違規，一定會行政制裁，未來會視乎個案嚴重性及因應社會關注，在可行情况下公開違規僱主名稱，並預計明年上半年完成計劃檢討，有結果前仍然會接受申請，相信能夠配合人力推算中期更新，協助當局做好中長期規劃。

面對失業率上升，勞工界促請當局暫停輸入外勞。 孫玉菡說明白大眾關注，但要「動態地」檢視情況，舉例指洗碗工即使輸入約1600名外勞，但仍然缺人，計劃既要確保本地工人優先就業，亦要取得平衡，協助香港在人口老化、 勞動力縮減下繼續發展經濟。"
庫克:特朗普無權解僱 自己不會辭職,2025-08-26 11:44,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826114416&page=0,metro,,2025-08-26 12:00,"美國總統特朗普(Donald Trump)宣布，撤銷涉及房貸欺詐的聯儲局理事庫克(Lisa Cook)職務。 庫克回應指，特朗普無權解僱她，自己也不會辭職。 庫克的律師亦表示，計劃採取一切必要行動，阻止特朗普的非法行為。

特朗普此前在旗下社交平台發布一份致庫克的信件，引述美國憲法第二條，以及《聯邦儲備法》相關條款，認定已存在足夠理由撤銷她的職務。

信中提及一份聯邦住房金融局早前提交的刑事移交材料，認為庫克涉嫌在樓宇按揭貸款文件中作出虛假陳述，特朗普形容事件不可想像，質疑庫克的誠信與作為金融監管者是否勝任，又指責庫克在金融事務中，存在欺詐和潛在犯罪行為，並動搖其作為監管者的可信度。"
小紅書主界面增設「市集」入口 進一步投入電商業務,2025-08-26 11:39,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826113922&page=0,metro,,2025-08-26 11:45,"內地社交平台小紅書，在主界面加入「市集」入口，進一步提升對電商業務的投入程度。

內媒報道，小紅書應用程式最近進行更新，會在主界面中增設電商入口。 新版本中，App底部導航欄出現「市集」頁面，該頁面以帶貨直播、商品筆記等雙列流形式，為用戶提供邊逛邊買的購物體驗。

小紅書表示，「市集」目前正在進行測試中，該頁面是小紅書生活方式電商的具象化呈現，希望能夠為用戶提供集中購買場景，為商家提供更多更新的經營場域。"
運輸署指上年度處理194宗申訴 近四成調解解決,2025-08-26 11:37,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826113734&page=0,metro,,2025-08-26 11:45,"運輸署表示，24/25年度共處理194宗申訴個案，近四成透過調解解決，主要涉及各類牌證、 運輸設施及運輸服務營辦商的表現。

運輸署在社交平台發文，指調解個案包括有市民反映「港車北上」續期通知電郵跌入垃圾郵件夾，錯過遞交續期申請的時段；有「易通行」用戶以為退款不果，但其實已完成退款；以及有乘客不滿個別專線小巴路線的服務。

署方指，會多從用家角度出發，盡力優化體驗，例如積極優化「港車北上」計劃，除了發出續期通知電郵，亦會再以手機短訊作提示，並將續期申請時段由6日延長至13日，便利市民。 而有關公共交通服務的投訴，署方每次都會即時跟進調查，要求營辦商聚焦改善，並持續監察，定期交代具體跟進工作和進度。"
分析料美國聯儲局10月及12月各減息0.25厘,2025-08-26 11:29,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826112939&page=0,metro,,2025-08-26 11:45,"永豐金融資產管理董事總經理涂國彬預計，美國聯儲局將在10月及12月各減息四分一厘。

涂國彬在本台節目表示，金價與貨幣政策的正相關性明顯，金價在每安士3300美元水平窄幅波動，無法升破3400美元，反映9月是否減息仍不確定。 聯儲局主席鮑威爾上周五的講話意外放鴿，是期望管理的表現，屬慣常循序漸進做法，加上關稅稅率在8月才落實，實際對通脹及失業數據的影響，需時一兩個月才顯現，因此認為聯儲局要到10月及12月才各減息四分一厘。

他建議，投資者應減低整體美債持貨，當中尤其需要減持長債，而美股則應中長線分散持有，因科技巨頭等公司具增長空間."
李成鋼據報本周赴美進行新一輪貿易會談,2025-08-26 11:14,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826111443&page=0,metro,,2025-08-26 11:30,"《華爾街日報》引述知情人士報道，中國商務部副部長、 國際貿易談判代表李成鋼，本周會前往美國華盛頓，與美國進行新一輪貿易會談。

知情人士透露，李成鋼會在本周稍後時間，與美國貿易代表格里爾(Jamieson Greer)，以及美國財政部高級官員會面，並會與當地商界人士會晤。

報道指，李成鋼預料會與美方討論大豆採購問題，並推動美國放寬對華技術出口限制，以及繼續要求特朗普政府取消對華徵收的百分之20芬太尼關稅。

中美自5月起，先後在日內瓦、 倫敦和斯德哥爾摩進行三次貿易談判，雙方在早前宣布延長暫緩加徵關稅措施90天，美國維持向中國進口商品徵收三成關稅，中國就對美國進口商品徵收一成關稅。"
習近平晤俄羅斯國家杜馬主席沃洛金,2025-08-26 10:42,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826104200&page=0,metro,,2025-08-26 11:00,新華社報道，國家主席習近平在北京見俄羅斯國家杜馬主席沃洛金。
澳洲央行:可能需要逐步放鬆貨幣政策,2025-08-26 10:16,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826101640&page=0,metro,,2025-08-26 10:30,"澳洲央行會議記錄顯示，當前貨幣政策立場仍然具有一定程度的限制性，認為可能需要逐步放鬆貨幣政策。

澳洲央行在今個月的議息會議決定減息四分一厘，會議記錄顯示，鑒於不確定性，暫時無法判斷減息速度，認為閒置產能及中性利率的不確定性，支持採取漸進的貨幣政策步伐，認同未來一年可能需要進一步減息，如果勞動力市場保持平衡，可能需要略微加快減息速度，而減息步伐將由數據决定，將在每次會議上再作出具體決定。"
曾祈殷指食腦蟲感染情況罕見死亡率高達98%,2025-08-26 10:15,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826101546&page=0,metro,,2025-08-26 10:30,"內地近日有兩宗兒童懷疑游水或浸溫泉後，感染「食腦蟲」死亡個案。 醫學會傳染病顧問委員會聯席主席曾祈殷表示，「食腦蟲」是主要存活於淡水湖泊和河流的「阿米巴蟲」，感染情況罕見，一旦感染死亡率高達九成八.

曾祈殷在本台節目指，「食腦蟲」是寄生蟲的一種，在水中繁殖的數量較多，市民跳水或潛水時最容易受到感染，「食腦蟲」直接接觸鼻腔後，會透過嗅覺神經，快速進入中樞神經，潛伏期大約9日，早期病徵與腦炎相近，包括發燒和劇烈頭痛，其後病情會急速發展，患者可能會意識混亂，甚至陷入昏迷。

另外，在基孔肯雅熱方面，曾祈殷指現時本港錄得的都是輸入個案，雖然病毒未有植根，但本港有能夠傳播病毒的白紋伊蚊，因此一旦錄得個案，便需要盡快隔離患者，並做足防蚊措施。"
港股早段跌逾百點,2025-08-26 09:59,https://www.metroradio.com.hk/news/default.aspx?SearchText=&NewsId=20250826095939&page=0,metro,,2025-08-26 10:30,"港股由四年高位回落，大市低開115點，恒生指數報25731點，跌97點。

海底撈(06862)半年少賺近一成四，股價跌百分之4，是跌幅最大藍籌。

新經濟股普遍下跌，阿里巴巴(09988)跌百分之1，但騰訊(00700)靠穩，美團(03690)跌百分之1，京東(09618)偏軟，網易(09999)及京東(09618)下跌。

醫藥股下跌，藥明康德(02359)跌百分之3，藥明生物(02269)跌百分之2，石藥集團(01093)跌百分之2，中生製藥(01177)跌百分之1，但翰森製藥(03692)升百分之1，再鼎醫藥(09688)半年虧損收窄，股價靠穩。

汽車股個別發展，吉利(00175)跌百分之1，比亞迪(01211)升百分之1，理想汽車(02015)跌百分之1，上日急升的蔚來(09866)回吐百分之7，小鵬(09868)跌百分之1。

國企指數報9210點，跌37點。"
